code,title,href,info,credits,level,state,last_examination_semester
DD3501,Aktuell forskning inom beviskomplexitet,https://www.kth.se/student/kurser/kurs/DD3501,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD2354,Algoritmer och komplexitet,https://www.kth.se/student/kurser/kurs/DD2354,"<p>En forts&#228;ttningskurs i datalogi med inriktning p&#229; algoritmer och komplexitet, mer teoretisk &#228;n DD1352.</p>","6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3450,Algoritmisk Bioinformatik,https://www.kth.se/student/kurser/kurs/DD3450,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3390,Approximationsalgoritmer,https://www.kth.se/student/kurser/kurs/DD3390,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD2439,"Artificiell intelligens och multiagentsystem, projektkurs",https://www.kth.se/student/kurser/kurs/DD2439,<p>En avancerad projektkurs i datateknik d&#228;r studenterna i grupper om 8-15 personer ska konstruera ett multiagentsystem som kan spela en form av simulerad fotboll.</p>,"21,0",Avancerad nivÃ¥,CANCELLED,20201
DD3372,Automater och sprÃ¥k,https://www.kth.se/student/kurser/kurs/DD3372,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD2371,Automatteori,https://www.kth.se/student/kurser/kurs/DD2371,"<p>Automata are mathematical machines, that is, abstract computing devices. Their purpose is to capture, study and compare different models and views of the abstract notion of computation and its various aspects. The computational power of automata can be characterized through the classes of languages (that is, sets of strings over a finite alphabet of symbols) they can accept/recognize. Important notions in computer science like state, nondeterminism and minimization are captured in the simple model of finite automata, which recognize the class of regular languages. Automata provide the basis for the implementation of many programming languages, with parsing being a typical example for the application of pushdown automata, which recognize the more powerful class of context-free languages. Another important reason for studying automata is to capture the notion of effective computability, that is, to characterize the notion of computation as a process which can be physically implemented. This allows the important question to be posed: what problems can be decided algorithmically, and where are the limits to this? The most influential model for studying these issues is Turing machines.</p>","6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3371,Avancerade berÃ¤kningsmetoder i flÃ¶desmekanik,https://www.kth.se/student/kurser/kurs/DD3371,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD2453,Avancerade formella metoder,https://www.kth.se/student/kurser/kurs/DD2453,"<p>De senaste &#229;ren har en m&#228;ngd nya tekniker dykt upp med syftet att modellera och analysera system med avseende p&#229; egenskaper som distribution, mobilitet, prestanda, och s&#228;kerhet. Kursen 2D1453 &#228;r en avancerad, projektorienterad kurs som syftar till att s&#228;tta de studerande i niv&#229; med n&#229;gon utvald del av state-of-the-art inom omr&#229;det.</p><p>De studerande erbjuds ett antal id&#233;er till miniprojekt, i allm&#228;nhet baserade p&#229; att anpassa, modifiera, eller applicera n&#229;gon teknik som introduceras i en forskningsuppsats. Resultaten presenteras p&#229; en en-dags workshop i slutet av kursen. Kursens inneh&#229;ll kommer att variera fr&#229;n &#229;r till &#229;r, med olika urval av projektid&#233;er och tematisk inriktning. Varje tema blir underst&#246;tt, efter behov, av introducerande kursmoduler.</p>","7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2456,Avancerade objektorienterade system,https://www.kth.se/student/kurser/kurs/DD2456,<p>This course is an advanced course for students who already have competence in Java/c++/UML and wish to deepen their understanding of the fundamental&#160;issues of object-orientation. The course covers both theory and practice.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD3456,Avancerade objektorienterade system,https://www.kth.se/student/kurser/kurs/DD3456,<p>This course is an advanced course for students who already have competence in Java/c++/UML and wish to deepen their understanding of the fundamental&#160;issues of object-orientation. The course covers both theory and practice.</p>,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD2461,"Avancerad kurs i programmering och problemlÃ¶sning, del 1",https://www.kth.se/student/kurser/kurs/DD2461,,"20,0",Avancerad nivÃ¥,CANCELLED,20201
DD2462,"Avancerad kurs i programmering och problemlÃ¶sning, del 2",https://www.kth.se/student/kurser/kurs/DD2462,,"10,0",Avancerad nivÃ¥,CANCELLED,20201
DD3010,Avancerad maskininlÃ¤rning I,https://www.kth.se/student/kurser/kurs/DD3010,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3443,Basala ganglierna-lÃ¤skurs om teorier och modeller,https://www.kth.se/student/kurser/kurs/DD3443,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD3442,Basala Ganglierna- undersÃ¶kning av teorier och modeller,https://www.kth.se/student/kurser/kurs/DD3442,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3009,BerÃ¤kningsaspekter pÃ¥ fylogeni,https://www.kth.se/student/kurser/kurs/DD3009,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3007,BerÃ¤kningsbaserad modellering inom aktuell neurovetenskap,https://www.kth.se/student/kurser/kurs/DD3007,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD1371,BeslutstÃ¶dssystem,https://www.kth.se/student/kurser/kurs/DD1371,<p>En forts&#228;ttningskurs i datalogi med syfte att ge grundl&#228;ggande kunskap om beslutst&#246;dssystem.</p>,"7,5",GrundnivÃ¥,CANCELLED,20201
DD2422,Bildbehandling och datorseende,https://www.kth.se/student/kurser/kurs/DD2422,"<p>En kurs i datalogi som behandlar grundl&#228;ggande teori, modeller och metoder f&#246;r datorseende, bildanalys, bildbehandling och bildkompression.</p>","6,0",Avancerad nivÃ¥,CANCELLED,20201
DD2396,Bioinformatik,https://www.kth.se/student/kurser/kurs/DD2396,,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD2400,Cell- och molekylÃ¤rbiologi,https://www.kth.se/student/kurser/kurs/DD2400,"<p>Kursen i cell- och molekyl&#228;rbiologi ger en helhetsbild av det cell- och molekyl&#228;rbiologiska aktivitetsomr&#229;det. Kursen omfattar allm&#228;nna baskunskaper, terminologi samt analysredskap i cell- och molekyl&#228;rbiologi samt belyser &#228;mnena immunologi, mikrobiologi och molekyl&#228;r medicin. Dessa kunskaper integreras med de andra disciplinerna inom biomedicinsk teknik.</p>","15,0",Avancerad nivÃ¥,CANCELLED,20201
DD2430,"Dataanalys, projektkurs",https://www.kth.se/student/kurser/kurs/DD2430,,"9,0",Avancerad nivÃ¥,ESTABLISHED,
DD2472,Databassystemutveckling fÃ¶r moderna tillÃ¤mpningar,https://www.kth.se/student/kurser/kurs/DD2472,<p>Avancerad kurs i datalogi. Kursen ska ge kunskaper om utveckling av applikationsprogram som anv&#228;nder en databas f&#246;r att lagra data och eventuellt &#228;ven programkod och k&#246;rbara programmoduler.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD1364,Databasteknik,https://www.kth.se/student/kurser/kurs/DD1364,<p>En forts&#228;ttningskurs i datalogi som behandlar grunderna inom databastekniken.</p>,"7,5",GrundnivÃ¥,CANCELLED,20201
DD228V,Databasteknik,https://www.kth.se/student/kurser/kurs/DD228V,<p>En forts&#228;ttningskurs i datalogi som behandlar grunderna inom databastekniken.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD1051,Databasteknik och datorkommunikation,https://www.kth.se/student/kurser/kurs/DD1051,,"7,5",GrundnivÃ¥,CANCELLED,20201
DD1370,Databasteknik och informationssystem,https://www.kth.se/student/kurser/kurs/DD1370,<p>En kurs i datalogi som behandlar grunderna inom databasteknik och informationssystem.</p>,"7,5",GrundnivÃ¥,CANCELLED,20201
DD2469,Databasteori,https://www.kth.se/student/kurser/kurs/DD2469,"<p>En avancerad kurs i datalogi som behandlar de teoretiska, matematiska, grunderna f&#246;r databassystem.</p>","6,0",Avancerad nivÃ¥,CANCELLED,20201
2D5342,Databrytning,https://www.kth.se/student/kurser/kurs/2D5342,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3342,Databrytning,https://www.kth.se/student/kurser/kurs/DD3342,"<p>Den &#246;kande anv&#228;ndningen av IT och automatiska system som samlar in och lagrar information &#228;r en k&#228;lla till stora m&#228;ngder data. Denna information kan ofta anv&#228;ndas f&#246;r att f&#229; fram kunskap&#160; om systemen som kan anv&#228;ndas i aff&#228;rs- och f&#246;rb&#228;ttringssyfte. I vetenskapliga aktiviteter kan man idag samla s&#229; mycket data fr&#229;n experiment att analys med konventionella statistiska metoder inte kan g&#246;ras av resurssk&#228;l.</p><p>Metoder att systematiskt l&#229;ta datorn uppt&#228;cka kunskap i rudiment&#228;r form &#228;r d&#228;rf&#246;r intressanta. Databrytning och kunskapsuppt&#228;ckt &#228;r ett omr&#229;de d&#228;r man studerar metoder att 'bryta' eller exploatera inneh&#229;llet i stora databaser.</p><p>I denna kurs introducerar vi de vanligaste metoderna p&#229; omr&#229;det som utvecklats</p><p>inom discipliner som databasteknik, artificiell intelligens, statistik och</p><p>visualisering. S&#228;rskilt viktigt &#228;r att f&#229; fram sann och intressant i motsats till felaktig, slumpartad eller ointressant kunskap.</p><p>I kursen l&#228;ggs ett statistikperspektiv p&#229; omr&#229;det.</p>","6,0",ForskarnivÃ¥,ESTABLISHED,
DD3462,Datalogididaktik,https://www.kth.se/student/kurser/kurs/DD3462,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD112V,"Datalogi I, grundkurs med Javaprogrammering",https://www.kth.se/student/kurser/kurs/DD112V,,"15,0",GrundnivÃ¥,CANCELLED,20201
DD217V,"Datalogi II, algoritmer och datastrukturer",https://www.kth.se/student/kurser/kurs/DD217V,,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD1343,"Datalogi och numeriska metoder, del 1",https://www.kth.se/student/kurser/kurs/DD1343,<p>En grundl&#228;ggande kurs i datalogi och Matlab.</p>,"7,5",GrundnivÃ¥,CANCELLED,20201
DD2428,Datorgeometri och visualisering,https://www.kth.se/student/kurser/kurs/DD2428,<p>En kurs i datalogi som behandlar grundl&#228;ggande teori och metodik f&#246;r att f&#246;rst&#229; samband mellan information i tv&#229;-dimensionella (2D) bilder och&#160;tre-dimensionella (3D) scener.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3313,"Datorseende, lÃ¤secirkel",https://www.kth.se/student/kurser/kurs/DD3313,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3008,Distribuerade algoritmer,https://www.kth.se/student/kurser/kurs/DD3008,"<p>Introductory postgraduate level course in computer science on the theory, algorithms, and techniques of parallel and distributed computing systems.</p>","6,0",ForskarnivÃ¥,ESTABLISHED,
DD3424,DjupinlÃ¤rning i Data Science,https://www.kth.se/student/kurser/kurs/DD3424,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3432,Doktorandkurs i artificiella neuronnÃ¤t och andra lÃ¤rande system,https://www.kth.se/student/kurser/kurs/DD3432,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3431,Doktorandkurs i maskininlÃ¤rning,https://www.kth.se/student/kurser/kurs/DD3431,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3435,Doktorandkurs i neuronnÃ¤ts- och biomodellering,https://www.kth.se/student/kurser/kurs/DD3435,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD226X,"Examensarbete inom biologisk fysik, avancerad nivÃ¥",https://www.kth.se/student/kurser/kurs/DD226X,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete av utredande karakt&#228;r inom biologisk fysik eller fysik med biologiska till&#228;mpningar.</p>,"30,0",Avancerad nivÃ¥,CANCELLED,20201
DD225X,"Examensarbete inom biomedicinsk teknik, avancerad nivÃ¥",https://www.kth.se/student/kurser/kurs/DD225X,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom biomedicinsk teknik av utredande karakt&#228;r.</p>,"30,0",Avancerad nivÃ¥,CANCELLED,20201
DD221X,"Examensarbete inom datalogi, avancerad nivÃ¥",https://www.kth.se/student/kurser/kurs/DD221X,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p>,"30,0",Avancerad nivÃ¥,CANCELLED,20201
DD245X,"Examensarbete inom datalogi, avancerad nivÃ¥",https://www.kth.se/student/kurser/kurs/DD245X,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p>,"15,0",Avancerad nivÃ¥,CANCELLED,20201
2D1043,Examensarbete inom datalogi fÃ¶r kandidatexamen,https://www.kth.se/student/kurser/kurs/2D1043,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p>,"15,0",GrundnivÃ¥,CANCELLED,20201
DD150X,"Examensarbete inom teknik och management, grundnivÃ¥",https://www.kth.se/student/kurser/kurs/DD150X,<p>Ett sj&#228;lvst&#228;ndigt arbete inom teknik och management av utredande karakt&#228;r.<br />Examensarbetet &#228;r obligatoriskt f&#246;r den som vill ta ut kandidatexamen.</p>,"15,0",GrundnivÃ¥,CANCELLED,20201
DD151X,"Examensarbete i teknik: Datateknik, kommunikation och industriell ekonomi, grundnivÃ¥",https://www.kth.se/student/kurser/kurs/DD151X,"<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p><p>Kursen &#228;r avsedd f&#246;r studenter p&#229; civilingenj&#246;rsprogrammet i industriell ekonomi, med inriktning datateknik och kommunikation.</p>","15,0",GrundnivÃ¥,ESTABLISHED,
DD3001,"Forskning: teori, metod, praktik",https://www.kth.se/student/kurser/kurs/DD3001,"<p>En forskare vid ett universitet eller i industrin beh&#246;ver, ut&#246;ver sin specialiserade kompetens som utvecklas under avhandlingsarbetet, &#228;ven f&#246;rm&#229;ga att analysera och v&#228;rdera forskning inom ett bredare omr&#229;de, kunskap om och f&#246;rm&#229;ga att till&#228;mpa procedurer och regler f&#246;r sitt arbete som etiska riktlinjer och f&#246;rh&#229;llningsregler, och s&#228;tt att motivera och finansiera sin forskning i en forskarkarri&#228;r.</p>","7,5",ForskarnivÃ¥,ESTABLISHED,
DD1344,GrundlÃ¤ggande datalogi,https://www.kth.se/student/kurser/kurs/DD1344,<p>En grundl&#228;ggande kurs i datalogi med tyngdpunkt p&#229; datalogins vetenskapliga grund.</p>,"6,0",GrundnivÃ¥,CANCELLED,20201
DD1335,GrundlÃ¤ggande internetprogrammering,https://www.kth.se/student/kurser/kurs/DD1335,"<p>Kursen ska ge kunskap om och f&#228;rdigheter i grundl&#228;ggande tekniker f&#246;r utformning av webbaserade till&#228;mpningar, s&#229; att studenterna ska kunna utforma och konstruera levande webbsidor och klient-servertill&#228;mpningar.</p>","7,5",GrundnivÃ¥,CANCELLED,20201
DD3499,HjÃ¤rnliknande berÃ¤kning,https://www.kth.se/student/kurser/kurs/DD3499,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3375,HÃ¶gprestandamodellering med finita element,https://www.kth.se/student/kurser/kurs/DD3375,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3451,Individuell kurs i berÃ¤kningsbiologi,https://www.kth.se/student/kurser/kurs/DD3451,,"7,5",ForskarnivÃ¥,ESTABLISHED,
2D5348,Individuell kurs i datalogi,https://www.kth.se/student/kurser/kurs/2D5348,,"4,5",ForskarnivÃ¥,ESTABLISHED,
DD2475,InformationssÃ¶kning,https://www.kth.se/student/kurser/kurs/DD2475,"<p>En kurs i datalogi som behandlar grundl&#228;ggande teori, modeller och metoder f&#246;r datorbaserad informationss&#246;kning.</p>","9,0",Avancerad nivÃ¥,CANCELLED,20201
DD3344,Integritetsskyddande teknologier,https://www.kth.se/student/kurser/kurs/DD3344,<p>Privacy has become an increasingly important topic as our data and data about us is both increasing and more and more being collected and mined. This course will give an overview of privacy concepts and terminology as well as concrete examples of privacy-enhancing technologies (PET) and some of their applications.</p>,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3461,Interaktiv teorembevisning,https://www.kth.se/student/kurser/kurs/DD3461,,"4,5",ForskarnivÃ¥,ESTABLISHED,
DD3336,Interaktiv underhÃ¥llningsteknik,https://www.kth.se/student/kurser/kurs/DD3336,"<p>Datorspelsbranschen &#228;r redan en industri v&#228;rd flera miljarder dollar, ber&#228;knad att n&#229; 82 miljarder dollar p&#229; den globala marknaden &#229;r 2017. K&#228;rnan i dessa produkter &#228;r sofistikerade realtidsalgoritmer och infrastrukturer (t.ex. spelmotorer) som grundar sig i omr&#229;den s&#229;som datorgrafik, artificiell intelligens, HCl, datavetenskap och matematik. Underh&#229;llningsteknik kommer att forts&#228;tta att vara avg&#246;rande f&#246;r att trycka tillbaka tekniska hinder f&#246;r att m&#246;jligg&#246;ra nya former av interaktiva upplevelser och kommunikation, och de utg&#246;r en viktig l&#228;nk mellan akademin och industriforskningsinstitut.</p>","6,0",ForskarnivÃ¥,ESTABLISHED,
DD2390,Internetprogrammering,https://www.kth.se/student/kurser/kurs/DD2390,<p>En forts&#228;ttningskurs i datalogi som ger en bred &#246;versikt &#246;ver internetprogrammering.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD2392,Internets protokoll och principer,https://www.kth.se/student/kurser/kurs/DD2392,<p>En forts&#228;ttningskurs i datalogi som ger en god inblick i och &#246;verblick &#246;ver internetteknik och tj&#228;nster p&#229; Internet.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2393,Internets protokoll och principer,https://www.kth.se/student/kurser/kurs/DD2393,<p>En forts&#228;ttningskurs i datalogi som ger en god inblick i och &#246;verblick &#246;ver internetteknik och tj&#228;nster p&#229; Internet.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD1339,Introduktion till datalogi,https://www.kth.se/student/kurser/kurs/DD1339,<p>En grundl&#228;ggande kurs i datalogi som inleds med en introduktion till datoranv&#228;ndning.</p>,"19,0",GrundnivÃ¥,CANCELLED,20201
